Time,Capacitance,ADC
0.009886741638183594,0.00012462500000413713,274.0
0.019896507263183594,0.00012462500000413713,277.0
0.02425551414489746,0.00012462500000413713,292.0
0.02996039390563965,0.00012462500000413713,290.0
0.034131526947021484,0.00012462500000413713,290.0
0.034131526947021484,0.00012462500000413713,277.0
0.4048581123352051,0.00012462500000413713,291.0
1.1507627964019775,1.3834621250000034,307.0
1.90449857711792,0.00012462500000413713,287.0
1.946631908416748,0.00012462500000413713,281.0
2.6549360752105713,0.00012462500000413713,279.0
2.6949217319488525,0.00012462500000413713,288.0
4.154331207275391,0.00012462500000413713,272.0
4.194496393203735,0.00012462500000413713,271.0
4.898655414581299,0.00012462500000413713,271.0
5.657458782196045,0.00012462500000413713,289.0
5.7084197998046875,0.00012462500000413713,290.0
6.40568208694458,0.00012462500000413713,279.0
6.445672988891602,0.00012462500000413713,281.0
7.158763647079468,0.00012462500000413713,268.0
7.209136962890625,0.00012462500000413713,283.0
7.912450551986694,0.00012462500000413713,244.0
8.658605337142944,9.212404625000005,366.0
9.40883731842041,18.586697125000004,425.0
10.157452583312988,16.869364625000003,415.0
10.907527208328247,20.543309625000003,436.0
11.661491394042969,30.877214625000004,488.0
12.418674230575562,38.549129625000006,521.0
13.162587642669678,48.152732125000014,557.0
13.915995121002197,55.425847125,581.0
14.669328212738037,64.977107125,609.0
15.420021057128906,66.450174625,613.0
16.16165280342102,78.037807125,642.0
16.921682357788086,82.908152125,653.0
17.67200207710266,93.06010462500001,674.0
18.419960260391235,99.97928462499999,687.0
19.16938543319702,110.495142125,705.0
19.918598890304565,127.972552125,731.0
20.672640085220337,125.08374462500001,727.0
21.424244165420532,134.76959962499998,740.0
22.173024654388428,150.644332125,759.0
22.925419807434082,159.953819625,769.0
23.676453590393066,164.886477125,774.0
24.424732446670532,179.821537125,788.0
25.172967672348022,189.18336712500002,796.0
25.930179834365845,205.88810212500002,809.0
26.67935609817505,221.69304462500003,820.0
27.426296949386597,231.057367125,826.0
28.17745351791382,248.00138212500002,836.0
28.93470597267151,255.29692962500002,840.0
29.677345752716064,266.859637125,846.0
30.43585467338562,290.229317125,857.0
31.184475660324097,285.752787125,855.0
31.932488441467285,297.148497125,860.0
32.686259269714355,314.331792125,867.0
33.43129801750183,311.784457125,866.0
34.1887891292572,335.96170712500003,875.0
34.94073486328125,383.528577125,890.0
35.68828511238098,387.0828821250001,891.0
36.44111466407776,390.69202212500005,892.0
37.1901216506958,390.69202212500005,892.0
37.93775725364685,387.0828821250001,891.0
38.689382791519165,394.35848962500006,893.0
39.44717216491699,387.0828821250001,891.0
40.194687366485596,383.528577125,890.0
40.94653677940369,387.0828821250001,891.0
41.69337248802185,383.528577125,890.0
42.448981046676636,387.0828821250001,891.0
43.194737672805786,390.69202212500005,892.0
43.94719338417053,390.69202212500005,892.0
44.69616985321045,387.0828821250001,891.0
45.446805000305176,387.0828821250001,891.0
46.20402669906616,390.69202212500005,892.0
46.94834756851196,383.528577125,890.0
47.697569847106934,387.0828821250001,891.0
48.453970432281494,390.69202212500005,892.0
49.19831132888794,387.0828821250001,891.0
49.952157497406006,387.0828821250001,891.0
50.69800138473511,383.528577125,890.0
52.208399295806885,376.57450212500004,888.0
52.95467257499695,387.0828821250001,891.0
53.70784664154053,383.528577125,890.0
54.4599187374115,383.528577125,890.0
55.20444369316101,387.0828821250001,891.0
55.95561718940735,390.69202212500005,892.0
56.70438027381897,390.69202212500005,892.0
57.45671081542969,387.0828821250001,891.0
58.21247434616089,390.69202212500005,892.0
58.95948028564453,387.0828821250001,891.0
59.70750379562378,390.69202212500005,892.0
60.464094400405884,383.528577125,890.0
61.21644043922424,387.0828821250001,891.0
61.96424674987793,383.528577125,890.0
62.71024131774902,387.0828821250001,891.0
63.463366746902466,387.0828821250001,891.0
64.21957564353943,387.0828821250001,891.0
64.96334338188171,387.0828821250001,891.0
